Alan Porter,484198
James Hoye,428442
Mike Estabrook,482631
Tony Randazzo,427413
Jeff Nelson,427362
Bill Welke,427534
Vic Carapazza,483569
Toby Basner,489942
Tim Timmons,427509
Mark Carlson,427053
Phil Cuzzi,427093
Sam Holbrook,427235
Ron Kulpa,427292
Chad Fairchild,431232
Dale Scott,427457
Jeff Kellogg,427269
Mike Everitt,427156
Paul Nauert,427361
Jim Wolf,427554
Jordan Baker,490319
Mark Ripperger,483919
Rob Drake,427128
Fieldin Culbreth,427090
Alfonso Marquez,427315
Chris Conroy,482620
Mike Winters,427552
Hal Gibson III,503586
Gerry Davis,427103
Marvin Hudson,427243
Manny Gonzalez,484499
Mark Wegner,427533
Hunter Wendelstedt,427537
Tom Hallion,427206
Adrian Johnson,482641
Dan Bellino,483564
Kerwin Danley,427095
Brian Knight,427286
Marty Foster,427168
Mike DiMuro,427115
Eric Cooper,427081
Jerry Meals,427339
Angel Hernandez,427220
Jerry Layne,427299
Joe West,427538
Dana DeMuth,427108
Jim Joyce,427261
CB Bucknor,427044
Tim Welke,427545
John Hirschbeck,427229
Scott Barry,482608
Larry Vanover,427520
Brian O'Nora,427366
Bill Miller,427344
Bruce Dreckman,427129
Andy Fletcher,427164
Wally Bell,427026
Todd Tichenor,429805
Chris Guccione,427197
Paul Emmel,427144
Paul Schrieber,427454
Lance Barksdale,427013
Jim Reynolds,427424
Ted Barrett,427019
D.J. Reyburn,482666
Gary Cederstrom,427058
Doug Eddings,427139
Gary Darling,427097
Greg Gibson,427184
Ed Hickox,427224
Laz Diaz,427113
Brian Gorman,427192
Mike Muchlinski,483912
Bob Davidson,427099
Dan Iassogna,427248
Cory Blaser,484183
Tim McClelland,427326
Quinn Wolcott,511890
David Rackley,482663
Clint Fagan,489954
Will Little,504381
Adam Hamari,503077
John Tumpane,483630
Lance Barrett,483561
